Data,IBOV,ICON,IEEX,IFNC,IGCX,IMAT,INDX,UTIL
2007-08-24,52997.00,1084.37,16663.00,3486.00,6193.00,1896.65,8894.00,1634.72
2007-08-27,53078.00,1088.80,16694.00,3488.23,6224.00,1897.53,8878.00,1634.09
2007-08-28,51645.00,1061.50,16209.00,3377.97,6040.00,1837.55,8684.00,1587.24
2007-08-29,52734.00,1074.40,16646.00,3384.67,6149.00,1891.57,8888.00,1632.92
2007-08-30,52857.00,1072.10,16353.00,3394.87,6131.00,1909.54,8943.00,1601.91
2007-08-31,54637.00,1097.15,16843.00,3524.85,6334.00,1977.54,9235.00,1662.00
2007-09-03,54832.00,1103.06,16861.00,3553.57,6361.00,1976.19,9217.00,1658.68
2007-09-04,55250.00,1101.98,16878.00,3236.70,6384.00,1990.29,9269.00,1652.95
2007-09-05,54407.00,1081.67,16675.00,3164.74,6283.00,1969.65,9177.00,1626.57
2007-09-06,54569.00,1068.66,16746.00,3138.00,6301.00,1985.31,9170.00,1638.12
2007-09-10,52652.00,1035.88,16294.00,3020.46,6068.00,1920.31,8823.00,1586.96
2007-09-11,53920.00,1055.21,16571.00,3041.48,6157.00,1960.97,8980.00,1608.14
2007-09-12,53882.00,1053.56,16443.00,3056.11,6152.00,1953.24,8959.00,1597.96
2007-09-13,54908.00,1064.85,16539.00,3147.86,6282.00,1976.92,9012.00,1609.53
2007-09-14,54671.00,1055.85,16444.00,3162.73,6267.00,1962.89,8969.00,1601.90
2007-09-17,54340.00,1046.13,16160.00,3106.92,6224.00,1959.56,8956.00,1573.92
2007-09-18,56666.00,1073.12,16549.00,3248.65,6485.00,2041.41,9190.00,1621.43
2007-09-19,57264.00,1091.66,16672.00,3279.89,6552.00,2072.37,9327.00,1634.99
2007-09-20,56906.00,1090.46,16482.00,3257.52,6534.00,2059.78,9295.00,1619.92
2007-09-21,57798.00,1103.00,16690.00,3278.67,6592.00,2076.53,9401.00,1643.49
2007-09-24,58719.00,1108.49,16906.00,3317.39,6708.00,2126.29,9486.00,1664.23
2007-09-25,58857.00,1109.50,17026.00,3335.36,6746.00,2135.16,9519.00,1677.49
2007-09-26,59714.00,1122.72,17210.00,3444.20,6861.00,2157.64,9596.00,1698.93
2007-09-27,61052.00,1150.07,17241.00,3559.96,7019.00,2216.97,9786.00,1701.75
2007-09-28,60465.00,1144.76,17196.00,3534.61,6969.00,2201.51,9779.00,1685.03
2007-10-01,62340.00,1184.95,17468.00,3629.51,7190.00,2291.23,10090.00,1720.13
2007-10-02,62017.00,1175.85,17521.00,3406.36,7173.00,2265.99,10025.00,1719.97
2007-10-03,60098.00,1161.16,17336.00,3284.53,6941.00,2191.92,9918.00,1705.23
2007-10-04,60406.00,1182.93,17442.00,3305.91,6956.00,2190.56,9986.00,1709.77
2007-10-05,62318.00,1208.25,17557.00,3454.11,7161.00,2266.47,10276.00,1727.75
2007-10-08,62660.00,1211.04,17766.00,3467.61,7203.00,2281.94,10384.00,1745.87
2007-10-09,63548.00,1227.01,17945.00,3500.78,7291.00,2307.94,10451.00,1756.73
2007-10-10,63197.00,1211.26,17750.00,3448.28,7194.00,2284.64,10329.00,1732.34
2007-10-11,62455.00,1188.57,17564.00,3355.94,7097.00,2268.35,10259.00,1705.16
2007-10-15,62969.00,1179.47,17489.00,3339.65,7117.00,2293.60,10233.00,1683.41
2007-10-16,61717.00,1154.92,17111.00,3244.27,6975.00,2246.14,10050.00,1656.96
2007-10-17,63193.00,1196.62,17493.00,3330.36,7123.00,2286.58,10294.00,1694.38
2007-10-18,63261.00,1205.55,17526.00,3340.50,7153.00,2305.45,10363.00,1692.82
2007-10-19,60894.00,1170.55,17026.00,3223.33,6936.00,2236.57,10126.00,1645.07
2007-10-22,61215.00,1174.03,17177.00,3262.83,6960.00,2235.27,10161.00,1662.80
2007-10-23,62697.00,1198.93,17568.00,3370.57,7108.00,2276.28,10338.00,1695.52
2007-10-24,62624.00,1188.83,17472.00,3339.84,7035.00,2247.63,10271.00,1682.27
2007-10-25,62341.00,1168.08,17471.00,3329.80,7005.00,2239.10,10154.00,1669.86
2007-10-26,64275.00,1187.16,17763.00,3467.04,7210.00,2318.92,10362.00,1691.40
2007-10-29,65044.00,1195.65,17698.00,3471.59,7261.00,2335.36,10368.00,1689.56
2007-10-30,64383.00,1198.87,17691.00,3433.67,7191.00,2314.53,10366.00,1693.66
2007-10-31,65317.00,1211.39,17897.00,3498.05,7299.00,2331.99,10441.00,1702.76
2007-11-01,64050.00,1197.61,17713.00,3390.17,7188.00,2297.43,10326.00,1682.70
2007-11-05,62959.00,1199.39,17926.00,3049.71,7096.00,2283.45,10349.00,1702.54
2007-11-06,64503.00,1224.88,18087.00,3105.21,7258.00,2321.77,10475.00,1722.89
2007-11-07,63500.00,1198.62,17835.00,3042.60,7151.00,2286.26,10321.00,1706.56
2007-11-08,63561.00,1141.56,17467.00,2935.37,6981.00,2228.97,9980.00,1664.53
2007-11-09,64320.00,1154.90,17457.00,2985.87,7058.00,2241.27,10011.00,1661.46
2007-11-12,61526.00,1115.83,16932.00,2895.46,6839.00,2141.26,9683.00,1621.63
2007-11-13,62927.00,1111.14,17244.00,2991.90,6947.00,2190.36,9831.00,1647.77
2007-11-14,64630.00,1146.51,17637.00,3020.00,7091.00,2242.28,10053.00,1673.22
2007-11-16,64609.00,1156.88,17586.00,3027.55,7061.00,2241.03,10061.00,1680.84
2007-11-19,62336.00,1118.00,17110.00,2884.08,6798.00,2166.16,9758.00,1633.67
2007-11-21,60581.00,1069.13,16518.00,2751.07,6548.00,2103.15,9438.00,1595.75
2007-11-22,60653.00,1062.45,16600.00,2750.47,6570.00,2113.14,9437.00,1599.81
2007-11-23,60970.00,1065.24,16648.00,2779.34,6604.00,2138.94,9525.00,1601.73
2007-11-26,59069.00,1025.12,16021.00,2744.88,6435.00,2067.91,9207.00,1535.39
2007-11-27,59431.00,1036.21,16000.00,2844.14,6478.00,2111.38,9408.00,1540.16
2007-11-28,61714.00,1091.77,16583.00,3007.18,6791.00,2215.63,9804.00,1597.22
2007-11-29,62156.00,1099.45,16619.00,3029.28,6871.00,2245.98,9849.00,1588.89
2007-11-30,63006.00,1118.72,17145.00,3172.03,7023.00,2284.41,10045.00,1637.43
2007-12-03,63199.00,1134.73,17242.00,3166.00,6986.00,2273.10,10062.00,1651.95
2007-12-04,63481.00,1124.30,17336.00,2916.99,6990.00,2278.45,10071.00,1664.42
2007-12-05,64927.00,1143.94,17488.00,2942.52,7113.00,2315.20,10219.00,1690.45
2007-12-06,65790.00,1143.86,17581.00,2999.19,7192.00,2350.09,10338.00,1698.64
2007-12-07,65638.00,1150.46,17404.00,3001.28,7191.00,2339.44,10339.00,1682.88
2007-12-10,65445.00,1156.21,17289.00,2980.55,7173.00,2356.31,10423.00,1658.64
2007-12-11,64512.00,1138.83,16918.00,2931.24,7054.00,2301.52,10225.00,1618.02
2007-12-12,64741.00,1131.30,16889.00,2893.65,7003.00,2278.15,10159.00,1608.16
2007-12-13,62860.00,1103.29,16642.00,2804.89,6830.00,2197.45,9892.00,1590.92
2007-12-14,62444.00,1104.99,16623.00,2806.90,6819.00,2203.00,9932.00,1584.67
2007-12-17,59828.00,1062.23,16083.00,2689.06,6541.00,2127.63,9582.00,1530.30
2007-12-18,61096.00,1074.29,16377.00,2757.87,6641.00,2155.96,9680.00,1549.41
2007-12-19,61721.00,1066.03,16429.00,2804.39,6682.00,2187.85,9754.00,1554.21
2007-12-20,61716.00,1060.44,16316.00,2786.36,6669.00,2174.83,9671.00,1539.21
2007-12-21,63097.00,1077.98,16605.00,2781.95,6759.00,2241.15,9874.00,1572.94
2007-12-26,64288.00,1076.39,17222.00,2823.65,6856.00,2270.58,9990.00,1632.83
2007-12-27,63774.00,1075.71,17364.00,2778.12,6803.00,2271.52,9982.00,1643.26
2007-12-28,63886.00,1077.90,17305.00,2742.89,6800.00,2266.68,9957.00,1616.45
2008-01-02,62815.00,1062.92,17005.00,2633.96,6644.00,2215.22,9778.00,1608.15
2008-01-03,62891.00,1074.11,17241.00,2591.75,6648.00,2244.82,9901.00,1631.29
2008-01-04,61036.00,1048.14,16893.00,2583.73,6476.00,2171.25,9647.00,1597.60
2008-01-07,60772.00,1044.37,16934.00,2603.15,6419.00,2125.57,9529.00,1603.98
2008-01-08,62080.00,1044.14,17054.00,2638.25,6497.00,2161.35,9601.00,1615.72
2008-01-09,62673.00,1057.86,17213.00,2643.05,6495.00,2165.36,9657.00,1644.30
2008-01-10,63515.00,1082.68,17365.00,2703.06,6541.00,2200.34,9801.00,1646.87
2008-01-11,61942.00,1067.11,16940.00,2634.57,6400.00,2154.18,9624.00,1607.95
2008-01-14,62187.00,1071.38,17027.00,2648.46,6400.00,2189.31,9682.00,1619.94
2008-01-15,59907.00,1031.58,16609.00,2552.45,6173.00,2133.21,9401.00,1576.19
2008-01-16,58777.00,1018.87,16448.00,2517.18,6037.00,2078.07,9201.00,1571.68
2008-01-17,57036.00,988.42,16203.00,2454.20,5928.00,2014.98,8890.00,1533.87
2008-01-18,57506.00,999.52,16211.00,2429.07,5951.00,2043.14,8975.00,1545.48
2008-01-21,53709.00,947.73,15443.00,2335.83,5562.00,1889.76,8454.00,1450.83
